pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
2134,2,5.159497151,12.83,8.5,48.0
2135,2,5.226833026,15.94,8.49,40.12
2136,4,4.864718345,22.74,11.78,64.22
2141,4,7.04854497,26.69,9.72,61.7
2142,4,5.506931174,31.88,10.55,54.89
2143,5,11.28809232,17.63,8.51,72.41
2144,3,4.584060676,18.93,12.4,61.17
2151,2,5.214286198,22.29,11.88,49.42
2152,2,5.368394668,15.78,7.68,49.88
2153,3,8.471829801,23.05,7.48,53.95
2154,5,8.943346859,25.94,9.28,49.84
2155,5,8.689852216,27.42,7.19,52.05
2156,5,7.566260518,22.39,8.01,53.41
2157,5,6.759717092,34.14,7.85,49.93
2158,5,6.91156109,31.92,8.61,44.68
2159,5,5.730589821,18.8,8.83,50.11
2161,2,4.764058216,37.87,9.75,42.7
2162,3,4.88534757,22.68,8.89,38.39
2163,2,5.095401494,18.92,7.77,31.01
2165,3,4.887725423,26.69,12.55,54.19
2171,2,6.578973432,23.59,8.78,37.46
2172,2,6.709376807,26.1,8.98,42.59
2181,2,4.63416256,19.49,8.35,45.87
2182,3,4.635423464,26.18,8.83,40.46
2191,5,4.403624909,33.06,11.5,55.95
2201,2,5.401370487,29.66,9.59,52.83
2202,2,4.157536891,21.85,13.52,59.29
2203,2,5.180901901,22.48,8.95,49.69
2204,5,3.921389376,34.06,11.06,63.59
2211,3,4.647338757,31.77,9.99,44.86
2212,3,4.149893006,32.48,8.9,42.77
2215,3,5.247573872,19.76,8.72,48.92
2216,3,5.266890472,13.83,4.37,45.59
2221,2,5.352102933,20.46,9.82,51.57
2222,2,7.98253348,22.53,8.41,37.26
2223,2,4.767973261,32.02,12.71,58.11
2224,1,5.302248386,23.53,10.72,56.97
2225,2,4.090736642,18.11,10.43,62.96
2231,2,5.750145989,15.45,8.22,45.99
2232,3,5.501352983,5.77,4.97,41.8
2235,3,5.132825682,18.79,8.37,54.98
2236,5,4.264593273,38.66,10.5,79.42
2241,2,4.729831209,29.0,10.23,48.39
2242,2,3.910082813,32.75,13.59,66.06
2243,5,4.156920743,51.54,12.57,38.29
2244,5,4.146330091,48.27,11.5,47.07
2245,5,4.790267248,54.89,9.62,41.63
2251,2,4.877364467,23.05,8.91,46.75
2252,2,4.835467092,36.37,10.86,45.16
2253,2,5.01311095,31.89,10.1,46.21
2254,3,5.080359668,40.35,10.04,40.0
2261,2,5.065979955,36.96,10.75,41.95
2262,1,5.323228758,30.95,7.32,42.36
2263,2,4.770100668,34.18,8.18,51.46
2264,1,5.297324011,25.34,10.61,40.41
2265,1,5.387473324,21.16,8.96,45.59
2266,3,5.117716079,32.31,9.49,60.46
2267,3,5.104639967,27.98,13.56,46.62
2271,2,5.17213276,28.57,11.87,39.61
2272,1,5.556495204,27.04,11.14,45.26
2273,1,5.392993327,22.44,8.63,46.13
2274,1,5.892657717,22.19,10.29,37.46
2275,1,5.654336486,26.97,11.11,43.15
2281,1,5.196134171,23.86,13.8,37.52
2282,1,5.222161491,29.86,10.17,38.3
2283,1,5.050895711,44.04,9.4,39.95
2284,1,5.337871067,32.18,9.57,45.44
2285,1,4.800862262,33.97,9.47,43.99
2286,1,5.21958718,24.62,8.99,52.03
2287,1,6.136440891,39.39,9.52,43.22
2288,2,6.302035516,38.92,9.07,41.52
2289,2,6.46076346,26.95,9.42,56.48
